area,id,name,user_story,expected_behavior,activity,status,severity,bugs_found,fix_applied,test_result
Sidebar,SID-16,Workspace Hover Actions,"As a user, I want + and ... buttons on workspace hover","Hover shows New task and context menu",02-sidebar,PASS,NONE,,NONE,GREEN
Sidebar,SID-17,Session Hover Actions,"As a user, I want + and ... buttons on session hover","Hover shows plus button and context menu",02-sidebar,PASS,NONE,,NONE,GREEN
Sidebar,SID-18,Workspaces Overview,"As a user, I want to see all workspaces in an overview sheet","Button opens WorkspacesOverviewSheet",02-sidebar,PASS,NONE,,NONE,GREEN
Sidebar,SID-19,Resizable Sidebar,"As a user, I want to drag the sidebar edge to resize it","Drag 200..420, double-click reset 260",02-sidebar,PASS,NONE,,NONE,GREEN
Sidebar,SID-20,Group/Project Pill,"As a user, I want to switch sidebar grouping","SidebarGroupingPill toggles mode",02-sidebar,PASS,NONE,,NONE,GREEN
Sidebar,SID-21,Sidebar Archive Popover,"As a user, I want quick access to archived projects","archivebox icon opens ArchivedProjectsPopover",02-sidebar,PASS,NONE,,NONE,GREEN
Sidebar,SID-22,Workspaces Overview Title,"As a user, I want the overview sheet titled per reference","Sidebar section header removed; overview titled Overview",02-sidebar,PASS,NONE,,NONE,GREEN
Sidebar,SID-23,Notifications Mark All Read,"As a user, I want to mark all notifications read","Bell opens NotificationsSheet; Mark All Read resets badge",02-sidebar,PASS,NONE,,NONE,GREEN
Sidebar,SID-24,Archive Visibility Coherence,"As a user, I want archive/restore to update sidebar immediately","Archived hidden from active; restored reappear without relaunch",02-sidebar,PASS,NONE,,NONE,GREEN
Sidebar,SID-25,Session List Limit,"As a user, I want sidebar to show canonical 12 most recent sessions","maximumVisible=12 contract",02-sidebar,PASS,NONE,,NONE,GREEN
Sidebar,SID-26,Selection and Action Routing,"As a user, I want selecting workspace to reveal sessions","Selecting expands section; notification actions complete visibly",02-sidebar,PASS,NONE,,NONE,GREEN
Sidebar,SID-27,Stable Sidebar Drag,"As a user, I want sidebar dragging to follow pointer smoothly","Every drag sample applies translation at gesture start",02-sidebar,PASS,NONE,,NONE,GREEN
Sidebar,SID-28,Responsive Workspace Toolbar,"As a user, I want workspace actions usable when sidebar narrow","Toolbar shows individual actions or vertical-dots menu",02-sidebar,PASS,NONE,,NONE,GREEN
Content,CON-01,Chat Panel Layout,"As a user, I want the chat area to show messages or empty state","Empty state or scrollable message list",03-chat-panel,PASS,NONE,,NONE,GREEN
Content,CON-02,Empty State Logo,"As a user, I want to see the MiCoder code mark on initial screen","MiCoderLogoMark(size: 140) centered when no messages",03-chat-panel,PASS,NONE,,NONE,GREEN
Content,CON-03,Empty State Title,"As a user, I want contextual text on the empty screen","Session title > workspace name > Select a workspace",03-chat-panel,PASS,NONE,,NONE,GREEN
Content,CON-04,Message List Display,"As a user, I want to see all messages in a scrollable chat","LazyVStack with work-time separators, auto-scroll",03-chat-panel,PASS,NONE,,NONE,GREEN
Content,CON-05,Work Time Separators,"As a user, I want time separators between messages >5s apart","Worked for Xm Ys label",03-chat-panel,PASS,NONE,,NONE,GREEN
Content,CON-06,Auto-scroll to Bottom,"As a user, I want the chat to auto-scroll on new messages","Scrolls to bottom when at bottom",03-chat-panel,PASS,NONE,,NONE,GREEN
Content,CON-07,Scroll-to-Bottom Button,"As a user, I want a floating button to jump to latest","Chevron-down button when scrolled up",03-chat-panel,PASS,NONE,,NONE,GREEN
Content,CON-08,Load Older Messages,"As a user, I want to load older messages","Load earlier messages button / pagination",03-chat-panel,PASS,NONE,,NONE,GREEN
Input,INP-01,Centered Input Card,"As a user, I want a centered input card on initial screen","Rounded capsule with workspace header",04-chat-input,PASS,NONE,,NONE,GREEN
Input,INP-02,Auto-Growing Text Field,"As a user, I want the text field to grow as I type","CompactMessageTextField grows via NSTextView",04-chat-input,PASS,NONE,,NONE,GREEN
Input,INP-03,Workspace Dropdown,"As a user, I want to change workspace from the input card","Workspace header opens searchable dropdown",04-chat-input,PASS,NONE,,NONE,GREEN
Input,INP-04,Access Level Menu,"As a user, I want to set the access level","Menu with icons/descriptions; persists",04-chat-input,PASS,NONE,,NONE,GREEN
Input,INP-05,Agent Mode Menu,"As a user, I want to switch Build/Plan/Compose modes","Menu shows modes; Plan disabled if unsupported",04-chat-input,PASS,NONE,,NONE,GREEN
Input,INP-06,Provider Selector,"As a user, I want to select a provider","Menu with server/custom/local/web providers",04-chat-input,PASS,NONE,,NONE,GREEN
Input,INP-07,Model Selector,"As a user, I want to select a model","Menu shows models; checkmark on current",04-chat-input,PASS,NONE,,NONE,GREEN
Input,INP-08,Variant Selector,"As a user, I want to select reasoning effort","Variants shown when capabilities.reasoning",04-chat-input,PASS,NONE,,NONE,GREEN
Input,INP-09,Plus Menu (Attachments),"As a user, I want to add files and images via + button","Popover with File/Photo/@/#/command",04-chat-input,PASS,NONE,,NONE,GREEN
Input,INP-10,Send Button,"As a user, I want to send or stop generation","Arrow (send) / stop square (loading)",04-chat-input,PARTIAL,MEDIUM,"Native keyboard/accessibility unverified",NONE,GREEN
Input,INP-11,Message Queue Indicator,"As a user, I want to see queued messages when sending while loading","Pending messages shown as numbered list",04-chat-input,PASS,NONE,,NONE,GREEN
Input,INP-12,Attachment Preview,"As a user, I want to see attached files/images before sending","ComposerAttachmentPreview shows names/thumbnails",04-chat-input,PASS,NONE,,NONE,GREEN
Input,INP-13,Bottom Input Bar,"As a user, I want the input bar at the bottom","Compact bar, single-line until typing",04-chat-input,PASS,NONE,,NONE,GREEN
Input,INP-14,Model Parameters Dialog,"As a user, I want temperature/max_tokens/top_p/system","ModelParametersButton popover; validated per-model",04-chat-input,PARTIAL,MEDIUM,"Native popover unverified",NONE,GREEN
Input,INP-15,Command Dropdown (/ @ # $),"As a user, I want an in-input dropdown triggered by / @ #","InputCommandTriggerLogic detects triggers",04-chat-input,PASS,NONE,,NONE,GREEN
Input,INP-16,Dropdown $ MCP Trigger,"As a user, I want $ to suggest MCP servers","Symbol mapped in logic; MCP source returns items",04-chat-input,PASS,NONE,,NONE,GREEN
Input,INP-17,Dropdown Enable Toggle,"As a user, I want to enable/disable the input dropdown","appState.inputDropdownEnabled gates overlay",04-chat-input,PASS,NONE,,NONE,GREEN
Message,MSG-01,User Message Sending,"As a user, I want to send a text message and see it appear","Message appended to store; sent via client",03-chat-panel,PASS,NONE,,NONE,GREEN
Message,MSG-02,Assistant Streaming Response,"As a user, I want to see the assistant response stream","SSE events update message content incrementally",03-chat-panel,PASS,NONE,,NONE,GREEN
Message,MSG-03,Stop Generation,"As a user, I want to stop the assistant response","Stop button aborts session",03-chat-panel,PASS,NONE,,NONE,GREEN
Message,MSG-04,Message Edit,"As a user, I want to edit a sent message","Edit loads draft into composer",03-chat-panel,PASS,NONE,,NONE,GREEN
Message,MSG-05,Message Resend,"As a user, I want to resend a message","Resend triggers sendDirectly with same content",03-chat-panel,PASS,NONE,,NONE,GREEN
Message,MSG-06,Message Retry,"As a user, I want to retry the last assistant message","Retry finds preceding user message and resends",03-chat-panel,PASS,NONE,,NONE,GREEN
Message,MSG-07,Copy Entire Chat,"As a user, I want to copy the conversation transcript","copyEntireChat generates transcript",03-chat-panel,PASS,NONE,,NONE,GREEN
Message,MSG-08,Message Sanitization,"As a user, I want system-reminder tags stripped","MessageContentSanitizerLogic removes blocks",03-chat-panel,PASS,NONE,,NONE,GREEN
Message,MSG-09,Thinking Spoiler,"As a user, I want to see thinking in expandable spoiler","ThinkingSpoilerView toggles reasoning",03-chat-panel,PASS,NONE,,NONE,GREEN
Message,MSG-10,Tool Call Display,"As a user, I want to see tool calls with status/args/results","ToolCallPresentationLogic formats",03-chat-panel,PASS,NONE,,NONE,GREEN
Message,MSG-11,Tool Inspector,"As a user, I want to inspect tool call details","SplitToolInspectorView shows details",03-chat-panel,PASS,NONE,,NONE,GREEN
Message,MSG-12,Image Display in Chat,"As a user, I want to see images inline","TappableChatImage thumbnail; full-size on click",03-chat-panel,PASS,NONE,,NONE,GREEN
Message,MSG-13,Markdown Rendering,"As a user, I want messages rendered with Markdown","MarkdownTextView renders bold/italic/code",03-chat-panel,PASS,NONE,,NONE,GREEN
Message,MSG-14,Question/Answer Cards,"As a user, I want to answer plan-agent questions","PlanQuestionCardView with options",03-chat-panel,PASS,NONE,,NONE,GREEN
Provider,PROV-01,Server Provider Discovery,"As a user, I want models loaded from the server","loadModelsFromServer fetches providers",09-settings,PASS,NONE,,NONE,GREEN
Provider,PROV-02,Custom Provider Configuration,"As a user, I want to add custom providers","AddProviderSheet form; saved to UserDefaults",09-settings,PASS,NONE,,NONE,GREEN
Provider,PROV-03,RequiresAPIKey Toggle,"As a user, I want to mark provider as not requiring API key","Toggle; when off, serve not required",09-settings,PASS,NONE,,NONE,GREEN
Provider,PROV-04,Provider Cascade/Resolution,"As a user, I want the system to resolve the right provider","resolveProviderID searches server then custom",09-settings,PASS,NONE,,NONE,GREEN
Provider,PROV-05,Capability Gates,"As a user, I want UI to show only compatible models","ProviderCapabilityGates checks reasoning/toolcall/plan",09-settings,PASS,NONE,,NONE,GREEN
Provider,PROV-06,Model Variants,"As a user, I want to select reasoning effort","Variants shown when model has reasoning capability",09-settings,PASS,NONE,,NONE,GREEN
Provider,PROV-07,API Key Management,"As a user, I want API keys stored securely","KeychainManager store/retrieve/delete; file fallback",09-settings,PASS,NONE,,NONE,GREEN
Provider,PROV-08,Connection Validation,"As a user, I want clear errors without valid provider/model","SendReadinessLogic returns descriptive errors",09-settings,PARTIAL,MEDIUM,"hasAPIKey broken after Keychain migration",BUG-01,GREEN
Provider,PROV-09,Test Connection,"As a user, I want to test if my provider URL/key works","Test Connection hits /models with Bearer auth",09-settings,PASS,NONE,,NONE,GREEN
Provider,PROV-10,Local Providers,"As a user, I want to add local providers","LocalProviderConfig with defaults; quick-add cards",09-settings,PASS,NONE,,NONE,GREEN
Provider,PROV-11,Auto-Detect by IP:Port,"As a user, I want to enter one address and auto-detect","ProviderAutoDetector probes multiple endpoints",09-settings,PASS,NONE,,NONE,GREEN
Provider,PROV-12,Unified Providers Tab,"As a user, I want one Providers settings tab",".modelSettings hidden via visibleCases",09-settings,PASS,NONE,,NONE,GREEN
Provider,PROV-13,OpenCode Zen Big Pickle,"As a user, I want Auto Free to use Big Pickle","Requests use opencode.ai/zen/v1",15-micoder-auto-free,PASS,NONE,,NONE,GREEN
Provider,PROV-14,Anonymous Free-Model Discovery,"As a user, I want only free models returned","GET /models anonymously; intersected with trusted IDs",15-micoder-auto-free,PASS,NONE,,NONE,GREEN
Provider,PROV-15,Anonymous Free-Model Failover,"As a user, I want Auto Free to continue when model fails","Big Pickle preferred; 5 failures switch model",15-micoder-auto-free,PASS,NONE,,NONE,GREEN
Provider,PROV-16,Live Free Catalog Refresh,"As a user, I want to refresh the free-model catalog","Re-reads /models; updates visible list",15-micoder-auto-free,PASS,NONE,,NONE,GREEN
Provider,PROV-17,OpenCode Zen Provider Preset,"As a user, I want OpenCode Zen as named provider","Preset at opencode.ai/zen/v1; loads live catalog",09-settings,PASS,NONE,,NONE,GREEN
Provider,PROV-18,OpenCode Zen Access Modes,"As a user, I want OpenCode Zen anonymous and key modes","Without key: free only; with key: paid IDs added",09-settings,PASS,NONE,,NONE,GREEN
Provider,PROV-19,Provider-Local Edit and Delete,"As a user, I want edit/delete beside each mutable provider","Pencil and trash actions per row",09-settings,PASS,NONE,,NONE,GREEN
Provider,PROV-20,Rate-Limit Notification Severity,"As a user, I want rate-limited switch to be red","429/rate-limit → error notification",15-micoder-auto-free,PASS,NONE,,NONE,GREEN
Database,DB-01,SQLite Database Init,"As a user, I want the app to create/manage SQLite database","DatabaseManager creates tables on first launch",16-database,PASS,NONE,,NONE,GREEN
Database,DB-02,Schema Migrations,"As a user, I want the DB schema to update automatically","schema_version + runMigrationsIfNeeded",16-database,PASS,NONE,,NONE,GREEN
Database,DB-03,FTS5 Full-Text Search,"As a user, I want to search messages via full-text index","messages_fts with BM25",16-database,PASS,NONE,,NONE,GREEN
Database,DB-04,Database VACUUM,"As a user, I want the database to stay compact","Weekly auto-VACUUM",16-database,PASS,NONE,,NONE,GREEN
Database,DB-05,Project/Session CRUD,"As a user, I want projects and sessions persisted","DatabaseBridge CRUD backed by SQLite",16-database,PASS,NONE,,NONE,GREEN
Database,DB-06,Undo/Redo Stack,"As a user, I want to undo file operations","UndoRedoManager with executeWithUndo",16-database,PASS,NONE,,NONE,GREEN
Database,DB-07,New Project Path Validation,"As a user, I want new project to fail clearly on invalid path","Trim name/path; reject blank/relative/nonexistent",16-database,PASS,NONE,,NONE,GREEN
Database,DB-08,Workspace Switch Reloads Sessions,"As a user, I want switching projects to show only that project's sessions","selectWorkspace clears stale state; loads from DB",16-database,PASS,NONE,,NONE,GREEN
Database,DB-09,Explicit Project Session Routing,"As a user, I want sessions stored in owning project DB","Resolve explicit project ID before DatabaseBridge",16-database,PASS,NONE,,NONE,GREEN
Storage,STO-01,Per-Project Database,"As a user, I want each project to have its own DB","ProjectDatabaseManager.open creates/opens per-project DB",17-storage,PASS,NONE,,NONE,GREEN
Storage,STO-02,Unassigned Sessions Bucket,"As a user, I want sessions without a directory not lost","unassigned.db bucket in ~/.micoder",17-storage,PASS,NONE,,NONE,GREEN
Storage,STO-03,Connection Pool with Eviction,"As a user, I want many projects without exhausting handles","LRU pool, idle eviction 600s",17-storage,PASS,NONE,,NONE,GREEN
Storage,STO-04,Project History Export/Import,"As a user, I want to export/import project history","ProjectHistoryExporter export/importBundle",17-storage,PASS,NONE,,NONE,GREEN
Storage,STO-05,File Scanner,"As a user, I want project files scanned with excludes","ProjectFileScanner recursive, excludes, 5MB cap",17-storage,PASS,NONE,,NONE,GREEN
Storage,STO-06,File Index Logic,"As a user, I want file index delta by hash+mtime","ProjectFileIndexLogic computes changed/removed",17-storage,PARTIAL,MEDIUM,"FSEvents live runtime unverified",NONE,GREEN
Storage,STO-07,FSEvents Dynamic Reindexing,"As a user, I want index to update when files change","CoreServices FSEvents watcher with debounce",17-storage,PARTIAL,MEDIUM,"Live macOS FSEvents unverified",NONE,GREEN
Storage,STO-08,WAL Journal Mode,"As a user, I want concurrent writes without lock errors","PRAGMA journal_mode=WAL",17-storage,PASS,NONE,,NONE,GREEN
Storage,STO-09,Request History Logging,"As a user, I want edits/commands logged","request_history table + API",17-storage,PASS,NONE,,NONE,GREEN
Storage,STO-10,Project Undo with Snapshots,"As a user, I want to undo a file change per project","ProjectUndoManager + ProjectSnapshotManager",17-storage,PASS,NONE,,NONE,GREEN
Storage,STO-12,Project Registry,"As a user, I want a lightweight registry of known projects","ProjectRegistryLogic at ~/.micoder/projects.json",17-storage,PASS,NONE,,NONE,GREEN
Storage,STO-13,Storage Reset,"As a user, I want reset to clear app cache","StorageResetScope.appCacheOnly",17-storage,PASS,NONE,,NONE,GREEN
Storage,STO-14,Safe Reset,"As a user, I want reset to never touch data outside scope","resetStorage accepts injectable home/resetDatabase",17-storage,PASS,NONE,,NONE,GREEN
Storage,STO-15,Storage Admin Panel,"As a user, I want Settings>Storage>Projects","projectsAdminSection; archive/restore/delete/VACUUM",17-storage,PASS,NONE,,NONE,GREEN
Storage,STO-16,Typed-Name Delete Confirmation,"As a user, I want to type project name before delete","ProjectDeleteConfirmation.isConfirmed",17-storage,PASS,NONE,,NONE,GREEN
Storage,STO-17,Per-Project VACUUM,"As a user, I want to compact a single project's DB","VACUUM button with pre-backup",17-storage,PASS,NONE,,NONE,GREEN
Storage,STO-18,Project Backup Export/Import,"As a user, I want to back up/restore a project","ProjectBackupLogic uses ditto; evict-before-restore",17-storage,PASS,NONE,,NONE,GREEN
Storage,STO-19,Orphaned Project Relink,"As a user, I want to re-link or remove orphaned projects","orphaned() detection; NSOpenPanel relink",17-storage,PASS,NONE,,NONE,GREEN
Storage,STO-20,Bulk Archive Inactive,"As a user, I want to archive all projects not opened in N days","archiveAllInactive bulk action",17-storage,PASS,NONE,,NONE,GREEN
Storage,STO-21,Storage Quota Warning,"As a user, I want warning when DBs exceed 2GB","quotaStatus aggregate; warning banner",17-storage,PASS,NONE,,NONE,GREEN
Storage,STO-22,Storage Audit Log,"As a user, I want storage operations logged","StorageAuditLog appends timestamped lines",17-storage,PASS,NONE,,NONE,GREEN
Storage,STO-23,Registry Dedup on Migration,"As a user, I want duplicate registry records collapsed","deduplicated/deduplicateRegistry at startup",17-storage,PASS,NONE,,NONE,GREEN
Storage,STO-24,Per-Project Integrity Check,"As a user, I want DB corruption detected at open","integrityCheck via PRAGMA at open",17-storage,PASS,NONE,,NONE,GREEN
Storage,STO-25,Auto-Before Destructive Ops,"As a user, I want DB backup before reset/VACUUM/delete","ProjectAutoBackupLogic createBackup/prune",17-storage,PASS,NONE,,NONE,GREEN
Storage,STO-26,Read-Only Path Fallback,"As a user, I want projects on read-only paths to work","Fallback to ~/.micoder/projects/<hash>/",17-storage,PASS,NONE,,NONE,GREEN
Storage,STO-27,Registry+Settings Export/Import,"As a user, I want to migrate registry+settings","Versioned AppConfigurationBackupBundle",17-storage,PARTIAL,MEDIUM,"Cross-machine relinking unverified",NONE,GREEN
Storage,STO-28,Chunked Big-Project Delete,"As a user, I want deleting huge project to not freeze UI","ProjectDeletionExecutor bounded chunks + progress",17-storage,PARTIAL,MEDIUM,"Native filesystem unverified",NONE,GREEN
Storage,STO-30,Project-Scoped Session Maintenance,"As a user, I want archive/delete to affect project DBs","Maintenance covers legacy + project DBs",17-storage,PARTIAL,MEDIUM,"macOS SQLite runtime unverified",NONE,GREEN
Storage,STO-31,Project-Aware Storage Statistics,"As a user, I want Storage statistics to include project data","Aggregate legacy + project DB sizes",17-storage,PARTIAL,MEDIUM,"Live SQLite/UI runtime unverified",NONE,GREEN
Search,SRCH-01,Search Palette UI,"As a user, I want to search tasks via a palette","SearchPaletteView sheet",18-search,PASS,NONE,,NONE,GREEN
Search,SRCH-02,FTS5 Search Logic,"As a user, I want FTS5 search across sessions","matchingSessions uses FTS5 with title fallback",18-search,PASS,NONE,,NONE,GREEN
Search,SRCH-03,Search Result Opens Session,"As a user, I want to click a result to open session","selectSession + dismiss sheet",18-search,PASS,NONE,,NONE,GREEN
Git,GIT-01,Git Repo Detection,"As a user, I want the app to detect git repos","repositoryRoot finds .git",10-git-operations,PASS,NONE,,NONE,GREEN
Git,GIT-02,Git Status Display,"As a user, I want to see working tree changes","vcsChanges from workingTreeChanges",10-git-operations,PASS,NONE,,NONE,GREEN
Git,GIT-03,Branch Display & Switching,"As a user, I want to see and switch branches","checkoutGitBranch; gitBranches",10-git-operations,PASS,NONE,,NONE,GREEN
Git,GIT-04,Commit Changes,"As a user, I want to commit working tree changes","commitGitChanges with user message",10-git-operations,PASS,NONE,,NONE,GREEN
Git,GIT-05,Push Changes,"As a user, I want to push commits to remote","pushGitChanges; upstream setup",10-git-operations,PASS,NONE,,NONE,GREEN
Git,GIT-06,Auto Git Refresh,"As a user, I want git status refreshed automatically","GitRefreshCoalescer dedup",10-git-operations,PASS,NONE,,NONE,GREEN
Git,GIT-07,Auto-Commit,"As a user, I want optional auto-commit","BottomPanelView toggle",10-git-operations,PASS,NONE,,NONE,GREEN
Git,GIT-08,Git Publish / PR Flow,"As a user, I want to publish a branch and open PR","GitPublishFlowLogic + GitHubCLIService",10-git-operations,PASS,NONE,,NONE,GREEN
Settings,SET-01,Settings Overlay,"As a user, I want settings as overlay with backdrop","ZStack overlay; click outside dismisses; Escape closes",09-settings,PASS,NONE,,NONE,GREEN
Settings,SET-02,General Settings Tab,"As a user, I want theme and language config","Appearance with theme picker + language selector",09-settings,PASS,NONE,,NONE,GREEN
Settings,SET-03,Providers Tab,"As a user, I want to configure providers and models","Unified view: model + local + web + providers",09-settings,PASS,NONE,,NONE,GREEN
Settings,SET-04,Skills Management Tab,"As a user, I want to see and install agent skills","SkillsSettingsView with installed + library",09-settings,PARTIAL,MEDIUM,"Bulk actions unverified",NONE,GREEN
Settings,SET-05,MCP Server Management,"As a user, I want to configure MCP servers","MCP list with health dot, enable/disable/remove",09-settings,PARTIAL,MEDIUM,"MCP edit form unverified",NONE,GREEN
Settings,SET-06,Plugin Management,"As a user, I want to see installed plugins","Plugins list",09-settings,PASS,NONE,,NONE,GREEN
Settings,SET-07,User Commands,"As a user, I want to see available slash commands","Commands section listing .md files",09-settings,PASS,NONE,,NONE,GREEN
Settings,SET-08,Remote Connection,"As a user, I want to connect to remote serve","RemoteConnectionSheet hostname/port",09-settings,PASS,NONE,,NONE,GREEN
Settings,SET-09,Storage Tab,"As a user, I want full per-project storage admin","projectsAdminSection + usage + reset + quota",09-settings,PASS,NONE,,NONE,GREEN
Settings,SET-10,Onboarding Tab Removed,"As a user, I want no empty Onboard stub tab","SettingsTab has no .onboard case",09-settings,PASS,NONE,,NONE,GREEN
Settings,SET-11,Local Provider Model Chip,"As a user, I want to click a model chip to select it","Only active provider's model marked",09-settings,PASS,NONE,,NONE,GREEN
Settings,SET-12,Provider Endpoint and Form Defaults,"As a user, I want provider setup to normalize endpoints","HTTP(S) trimmed, trailing slashes removed",09-settings,PASS,NONE,,NONE,GREEN
Settings,SET-13,Plugin Enable Disable Action,"As a user, I want to enable/disable plugins","Each row has Enable/Disable action",09-settings,PASS,NONE,,NONE,GREEN
Security,SEC-01,Keychain API Key Storage,"As a user, I want API keys in macOS Keychain","KeychainManager save/get/delete; file fallback",22-security,PASS,NONE,,NONE,GREEN
Security,SEC-02,Access Level Permissions,"As a user, I want tool access restricted by level","AccessLevelPermissionLogic maps level→permissions",22-security,PASS,NONE,,NONE,GREEN
Security,SEC-03,Message Sanitization,"As a user, I want system messages filtered","MessageContentSanitizerLogic strips system-reminder",22-security,PASS,NONE,,NONE,GREEN
Security,SEC-04,Data Retention (VACUUM),"As a user, I want old data cleaned up","Weekly VACUUM",22-security,PASS,NONE,,NONE,GREEN
Security,SEC-05,Privacy Mode (Future),"As a user, I want to hide message content","NOT IMPLEMENTED",22-security,FUTURE,NONE,,NONE,N/A
Security,SEC-06,DB Encryption (Future),"As a user, I want DB at-rest encryption","NOT IMPLEMENTED - FileVault covers",22-security,FUTURE,NONE,,NONE,N/A
Terminal,TERM-01,Terminal Panel,"As a user, I want a terminal at the bottom","BottomPanelView with input/output/history",06-bottom-panel,PASS,NONE,,NONE,GREEN
Terminal,TERM-02,Command Execution,"As a user, I want to run bash commands","TerminalLine .command/.output/.error; runs via Process",06-bottom-panel,PASS,NONE,,NONE,GREEN
Terminal,TERM-03,Command Timeout,"As a user, I want commands to timeout after 30s","30s timeout; auto-cancels",06-bottom-panel,PASS,NONE,,NONE,GREEN
Terminal,TERM-04,Terminal History,"As a user, I want to see previous command output","Terminal lines preserved; scrolled display",06-bottom-panel,PASS,NONE,,NONE,GREEN
Terminal,TERM-05,Terminal Built-in Helpers,"As a user, I want clear/sleep/help shortcuts","clear/help/sleep with safeSeconds cap",06-bottom-panel,PASS,NONE,,NONE,GREEN
RightPanel,RTP-01,Plan/Goal Panel,"As a user, I want to see execution steps in right panel","RightPanelView displays currentSteps",07-right-panel,PASS,NONE,,NONE,GREEN
RightPanel,RTP-02,Task Step Display,"As a user, I want step-by-step progress","Steps with status; ExecutionStepSyncLogic",07-right-panel,PASS,NONE,,NONE,GREEN
Clipboard,CLP-01,Image Paste,"As a user, I want to paste images from clipboard","ChatPasteCoordinator detects images",23-clipboard,PASS,NONE,,NONE,GREEN
Clipboard,CLP-02,File Paste,"As a user, I want to paste files from clipboard","PasteboardAttachmentDetector detects file URLs",23-clipboard,PASS,NONE,,NONE,GREEN
Clipboard,CLP-03,Paste Routing,"As a user, I want paste to go to the right text field","ChatPasteRoutingLogic routes by focus",23-clipboard,PASS,NONE,,NONE,GREEN
Theme,THE-01,Dark/Light Theme,"As a user, I want to switch dark/light/system","appTheme; stored; sets colors",24-theme,PASS,NONE,,NONE,GREEN
Theme,THE-02,Font Scaling,"As a user, I want to adjust font size","fontScale via interfaceFontScale",24-theme,PASS,NONE,,NONE,GREEN
